Experiment_ID,Task,Model,Strategy,Class,Precision,Recall,F1,Support
binary_lr_s0_s42,binary,LR,S0,Normal,0.9474303978467491,0.6088648648648649,0.7413208726841949,37000
binary_lr_s0_s42,binary,LR,S0,Attack,0.7528435290501075,0.9724256595782229,0.8486610322853898,45332
binary_lr_s1_s42,binary,LR,S1,Normal,0.8959516210314127,0.7207567567567568,0.7988616790234404,37000
binary_lr_s1_s42,binary,LR,S1,Attack,0.8034508341735309,0.931681814171005,0.8628280166293834,45332
binary_lr_s2a_s42,binary,LR,S2A,Normal,0.8965922839091276,0.7210540540540541,0.7992989394211756,37000
binary_lr_s2a_s42,binary,LR,S2A,Attack,0.8036937005477784,0.9321230036177535,0.8631572496629489,45332
binary_lr_s2b_s42,binary,LR,S2B,Normal,0.8984647358541163,0.7244054054054054,0.8021007900406991,37000
binary_lr_s2b_s42,binary,LR,S2B,Attack,0.8057714285714286,0.9331818582899497,0.8648090604301251,45332
binary_rf_s0_s42,binary,RF,S0,Normal,0.97864056473328,0.7268918918918919,0.834186284544524,37000
binary_rf_s0_s42,binary,RF,S0,Attack,0.8157702825888787,0.9870510897379334,0.8932742408815955,45332
binary_rf_s1_s42,binary,RF,S1,Normal,0.9789749372521916,0.7273783783783784,0.8346280876401359,37000
binary_rf_s1_s42,binary,RF,S1,Attack,0.8160682700898962,0.9872496249889703,0.8935341858584649,45332
binary_rf_s2a_s42,binary,RF,S2A,Normal,0.9700651943885039,0.7681081081081081,0.8573540280857354,37000
binary_rf_s2a_s42,binary,RF,S2A,Attack,0.8382200433675875,0.9806538427600812,0.9038600343611171,45332
binary_rf_s2b_s42,binary,RF,S2B,Normal,0.9701573891122164,0.7696756756756756,0.8583657352985502,37000
binary_rf_s2b_s42,binary,RF,S2B,Attack,0.8391407754162105,0.9806759022324186,0.9044044349506662,45332
binary_xgb_s0_s42,binary,XGB,S0,Normal,0.9785844961796463,0.7372972972972973,0.8409760007398616,37000
binary_xgb_s0_s42,binary,XGB,S0,Attack,0.8215039941235883,0.9868304950145592,0.8966097788289056,45332
binary_xgb_s1_s42,binary,XGB,S1,Normal,0.9618807194698643,0.8238378378378378,0.887523657009754,37000
binary_xgb_s1_s42,binary,XGB,S1,Attack,0.8712926029777655,0.9733521574163946,0.9194990309875591,45332
binary_xgb_s2a_s42,binary,XGB,S2A,Normal,0.9650851934164332,0.8098108108108109,0.8806560171646068,37000
binary_xgb_s2a_s42,binary,XGB,S2A,Attack,0.8627863897825875,0.9760875319862349,0.9159464690478901,45332
binary_xgb_s2b_s42,binary,XGB,S2B,Normal,0.9728796169630642,0.7688378378378379,0.8589070048309179,37000
binary_xgb_s2b_s42,binary,XGB,S2B,Attack,0.8389022828298048,0.9825068384364246,0.9050434853287816,45332
multi_lr_s0_s42,multi,LR,S0,Analysis,0.04187192118226601,0.025110782865583457,0.03139427516158818,677
multi_lr_s0_s42,multi,LR,S0,Backdoor,0.0,0.0,0.0,583
multi_lr_s0_s42,multi,LR,S0,DoS,0.25995316159250587,0.02714600146735143,0.0491585473870682,4089
multi_lr_s0_s42,multi,LR,S0,Exploits,0.5355244669802676,0.7874595759971253,0.637504090760336,11132
multi_lr_s0_s42,multi,LR,S0,Fuzzers,0.26230378850466185,0.733256351039261,0.3863873435326843,6062
multi_lr_s0_s42,multi,LR,S0,Generic,0.9928427033819592,0.9629590376768586,0.9776725668477968,18871
multi_lr_s0_s42,multi,LR,S0,Normal,0.9503311258278145,0.636054054054054,0.7620620426138204,37000
multi_lr_s0_s42,multi,LR,S0,Reconnaissance,0.4712576025112811,0.687070938215103,0.559059699755615,3496
multi_lr_s0_s42,multi,LR,S0,Shellcode,0.0,0.0,0.0,378
multi_lr_s0_s42,multi,LR,S0,Worms,0.0,0.0,0.0,44
multi_lr_s1_s42,multi,LR,S1,Analysis,0.059792912352340674,0.6056129985228951,0.10883992567029467,677
multi_lr_s1_s42,multi,LR,S1,Backdoor,0.04035542391706775,0.18696397941680962,0.06638246041412911,583
multi_lr_s1_s42,multi,LR,S1,DoS,0.42228530872959547,0.14551235020787479,0.21644234267006185,4089
multi_lr_s1_s42,multi,LR,S1,Exploits,0.8049765713362417,0.44753862738052463,0.5752554702384389,11132
multi_lr_s1_s42,multi,LR,S1,Fuzzers,0.2760051509514952,0.6364236225668096,0.3850299401197605,6062
multi_lr_s1_s42,multi,LR,S1,Generic,0.9964898809850271,0.9628000635896349,0.979355325571367,18871
multi_lr_s1_s42,multi,LR,S1,Normal,0.9798866337538855,0.5793513513513514,0.7281744683742102,37000
multi_lr_s1_s42,multi,LR,S1,Reconnaissance,0.3313902652287963,0.3252288329519451,0.32828064097011694,3496
multi_lr_s1_s42,multi,LR,S1,Shellcode,0.05578775213519898,0.8121693121693122,0.10440401292297229,378
multi_lr_s1_s42,multi,LR,S1,Worms,0.016705336426914155,0.8181818181818182,0.03274215552523874,44
multi_lr_s2a_s42,multi,LR,S2A,Analysis,0.05648854961832061,0.5465288035450517,0.10239380102393801,677
multi_lr_s2a_s42,multi,LR,S2A,Backdoor,0.04884402474763921,0.25728987993138935,0.08210180623973727,583
multi_lr_s2a_s42,multi,LR,S2A,DoS,0.4113372093023256,0.1384201516263145,0.2071363220494053,4089
multi_lr_s2a_s42,multi,LR,S2A,Exploits,0.8006976375455843,0.4536471433704635,0.5791616491771318,11132
multi_lr_s2a_s42,multi,LR,S2A,Fuzzers,0.27662020405230636,0.6351039260969977,0.38538538538538536,6062
multi_lr_s2a_s42,multi,LR,S2A,Generic,0.9963259486729545,0.9628000635896349,0.9792761473576415,18871
multi_lr_s2a_s42,multi,LR,S2A,Normal,0.9840694151133964,0.5793243243243243,0.7293048892518118,37000
multi_lr_s2a_s42,multi,LR,S2A,Reconnaissance,0.35776467284470653,0.36441647597254007,0.3610599404846252,3496
multi_lr_s2a_s42,multi,LR,S2A,Shellcode,0.05742245199409158,0.8227513227513228,0.10735243355195029,378
multi_lr_s2a_s42,multi,LR,S2A,Worms,0.01702127659574468,0.8181818181818182,0.0333487725798981,44
multi_lr_s2b_s42,multi,LR,S2B,Analysis,0.05357428434351511,0.4948301329394387,0.09668109668109669,677
multi_lr_s2b_s42,multi,LR,S2B,Backdoor,0.054130162703379225,0.2967409948542024,0.09155861338978566,583
multi_lr_s2b_s42,multi,LR,S2B,DoS,0.4174757281553398,0.16825629738322329,0.2398466097263378,4089
multi_lr_s2b_s42,multi,LR,S2B,Exploits,0.8066997916332745,0.4521200143729788,0.5794715330147948,11132
multi_lr_s2b_s42,multi,LR,S2B,Fuzzers,0.2761273022369628,0.6454965357967667,0.38679385162852764,6062
multi_lr_s2b_s42,multi,LR,S2B,Generic,0.9963805867836578,0.9628000635896349,0.9793025386729909,18871
multi_lr_s2b_s42,multi,LR,S2B,Normal,0.9824408980749005,0.5806756756756757,0.7299257673818138,37000
multi_lr_s2b_s42,multi,LR,S2B,Reconnaissance,0.3745397159389795,0.4073226544622426,0.3902439024390244,3496
multi_lr_s2b_s42,multi,LR,S2B,Shellcode,0.05971370143149284,0.7724867724867724,0.1108580106302202,378
multi_lr_s2b_s42,multi,LR,S2B,Worms,0.01724987678659438,0.7954545454545454,0.03376748673420164,44
multi_rf_s0_s42,multi,RF,S0,Analysis,0.03297609233305853,0.059084194977843424,0.042328042328042326,677
multi_rf_s0_s42,multi,RF,S0,Backdoor,0.031678274545046056,0.241852487135506,0.05601907032181168,583
multi_rf_s0_s42,multi,RF,S0,DoS,0.2833382833382833,0.23330887747615553,0.25590128755364805,4089
multi_rf_s0_s42,multi,RF,S0,Exploits,0.7261041847878612,0.674901185770751,0.6995670189487406,11132
multi_rf_s0_s42,multi,RF,S0,Fuzzers,0.29804941482444736,0.5671395579016826,0.39074842302665225,6062
multi_rf_s0_s42,multi,RF,S0,Generic,0.9989583333333333,0.9655556144348472,0.9819729999191614,18871
multi_rf_s0_s42,multi,RF,S0,Normal,0.9598809282186591,0.766918918918919,0.8526186112196148,37000
multi_rf_s0_s42,multi,RF,S0,Reconnaissance,0.9228971962616822,0.790903890160183,0.8518176216882317,3496
multi_rf_s0_s42,multi,RF,S0,Shellcode,0.399673735725938,0.6481481481481481,0.4944500504540868,378
multi_rf_s0_s42,multi,RF,S0,Worms,0.5,0.09090909090909091,0.15384615384615385,44
multi_rf_s1_s42,multi,RF,S1,Analysis,0.03593339176161262,0.060561299852289516,0.045104510451045104,677
multi_rf_s1_s42,multi,RF,S1,Backdoor,0.030689964157706095,0.23499142367066894,0.05428967703586289,583
multi_rf_s1_s42,multi,RF,S1,DoS,0.28102082722205923,0.2342871117632673,0.25553480928247535,4089
multi_rf_s1_s42,multi,RF,S1,Exploits,0.7257159442724458,0.6738232123607618,0.6988075274827651,11132
multi_rf_s1_s42,multi,RF,S1,Fuzzers,0.29796663190823774,0.5656548993731442,0.39032441661923734,6062
multi_rf_s1_s42,multi,RF,S1,Generic,0.998958447538647,0.9656615971596629,0.9820278608573815,18871
multi_rf_s1_s42,multi,RF,S1,Normal,0.960124357934577,0.7678918918918919,0.8533157135992311,37000
multi_rf_s1_s42,multi,RF,S1,Reconnaissance,0.9060755336617405,0.789187643020595,0.8436018957345972,3496
multi_rf_s1_s42,multi,RF,S1,Shellcode,0.4227504244482173,0.6587301587301587,0.5149948293691831,378
multi_rf_s1_s42,multi,RF,S1,Worms,0.5,0.06818181818181818,0.12,44
multi_rf_s2a_s42,multi,RF,S2A,Analysis,0.03678402522333158,0.103397341211226,0.05426356589147287,677
multi_rf_s2a_s42,multi,RF,S2A,Backdoor,0.0493938845666727,0.46826758147512865,0.08936170212765958,583
multi_rf_s2a_s42,multi,RF,S2A,DoS,0.35690968443960824,0.16043042308632918,0.22135987852201788,4089
multi_rf_s2a_s42,multi,RF,S2A,Exploits,0.7450247499747449,0.662504491555875,0.701345632637535,11132
multi_rf_s2a_s42,multi,RF,S2A,Fuzzers,0.2806287231751956,0.6450016496205873,0.3910977744436109,6062
multi_rf_s2a_s42,multi,RF,S2A,Generic,0.9988493781162676,0.9660325366965185,0.9821669091105005,18871
multi_rf_s2a_s42,multi,RF,S2A,Normal,0.9725597370462016,0.7117297297297297,0.8219485930989279,37000
multi_rf_s2a_s42,multi,RF,S2A,Reconnaissance,0.9017800381436745,0.8114988558352403,0.8542607648298706,3496
multi_rf_s2a_s42,multi,RF,S2A,Shellcode,0.35994587280108253,0.7037037037037037,0.4762757385854969,378
multi_rf_s2a_s42,multi,RF,S2A,Worms,0.631578947368421,0.2727272727272727,0.38095238095238093,44
multi_rf_s2b_s42,multi,RF,S2B,Analysis,0.018584420719652037,0.06942392909896603,0.029320024953212728,677
multi_rf_s2b_s42,multi,RF,S2B,Backdoor,0.048177083333333336,0.38078902229845624,0.08553265266807937,583
multi_rf_s2b_s42,multi,RF,S2B,DoS,0.3307950045689918,0.26559060895084374,0.29462832338578404,4089
