epoch,train_mlogloss,train_merror,train_auc,val_mlogloss,val_merror,val_auc
1,1.6326068458262608,0.680620508725904,0.9795632827443582,1.63511768617317,0.6806296159000826,0.974555353212869
2,1.542717562237351,0.680620508725904,0.9807970999469657,1.54698342525941,0.6806296159000826,0.9763237075725006
3,1.4640398117767488,0.457625185354169,0.9814767850008804,1.4699818052477036,0.4574125295845333,0.977077559568125
4,1.394129179379844,0.39451921980152843,0.9818774913945222,1.401821297945426,0.39633294362542415,0.9774621728357488
5,1.3312116229977429,0.36733631801072203,0.9820849670926014,1.3405053406327494,0.37169579970914485,0.9776549037985495
6,1.2737976308919263,0.3560938747576138,0.9822953560542567,1.2847459117055955,0.3615728991416921,0.9778019908246993
7,1.2213965491164915,0.28637219117143836,0.9824639066353006,1.2338986813303117,0.29644415295560184,0.9778403267748195
8,1.173106969462193,0.23369596213071747,0.9825759546531314,1.1870064813001124,0.24565855884114174,0.9778796786295005
9,1.1283926447759751,0.20414623018136194,0.9827090793160624,1.1435376973055484,0.21551797884171206,0.9779743413392199
10,1.0869477964590102,0.19100034219231207,0.9828365665536739,1.1033770965837753,0.20225840485899227,0.9780621650093105
11,1.0484023976786774,0.18096270103798334,0.9829347947939979,1.0660438196938984,0.19378938663777126,0.9781172564064297
12,1.0124795823253363,0.17533078590167675,0.9830075158845647,1.0311833115771485,0.18840001140608514,0.9781640941045522
13,0.9789195779982534,0.17058999657807689,0.9830669666705183,0.9986411686728021,0.18466451852063076,0.9782215583644875
14,0.9475784057844143,0.16767423291890043,0.9831513015804412,0.9683603234214117,0.1820126037240868,0.9782621120504507
15,0.9181107269412856,0.16496521044827192,0.9832200295129121,0.9399094238846278,0.17958881063047136,0.9782998962026561
16,0.890226589835559,0.16286928253678568,0.9833017765632459,0.9130941726926586,0.17750720009124868,0.9783073195291845
17,0.864167227255852,0.16069493555378123,0.9833559269563444,0.8879826369297888,0.17571074168068665,0.9783318624889771
18,0.8395256028469519,0.15877010379833467,0.9834107570512303,0.8643007461884434,0.17362913114146397,0.9783404378218535
19,0.8162125963201419,0.15716607733546253,0.983485948150349,0.841928550175501,0.1724885226268214,0.9783723725021453
20,0.79423374725497,0.1559470172236797,0.9835480209863473,0.8209424504684714,0.17166158145370555,0.9783883934567146
21,0.7735115785744061,0.15469944108589026,0.9836060968101754,0.8010771041138212,0.17080612506772364,0.9784161845940824
22,0.7540524954423928,0.15366573514315046,0.9836566830074341,0.7824015160448119,0.16977957740454533,0.9784230579040502
23,0.7353833072241028,0.15250370708338087,0.9837231846148766,0.7645911391278581,0.1686959993156349,0.9784584319947512
24,0.7179446009742917,0.1514129690886278,0.9837723254430392,0.7479028105888746,0.16838233197410818,0.9784778065595695
25,0.7014194399033864,0.15062164936694422,0.983820419602968,0.7321105077257243,0.16801163420684936,0.9785077072957433
26,0.6856547769639665,0.1499158777232805,0.9838693521273999,0.7171215921229933,0.16804014941971543,0.9785397843612115
27,0.67083516916033,0.14921010607961674,0.9839043180172516,0.7029449398018799,0.16752687558812626,0.9785511223496193
28,0.6566179341812834,0.14846156039694308,0.9839565663927837,0.6894440971525875,0.1672417234594656,0.9785587617374623
29,0.642995846450237,0.14782707881829588,0.9840196864377384,0.6765866202820853,0.16661438877641221,0.9785773082406157
30,0.6301582875198706,0.14727814531766853,0.9840785856896468,0.6645230492121507,0.16641478228634976,0.9785962660443559
31,0.6178564172156527,0.14668643777803125,0.9841324478344292,0.6529398854064412,0.16641478228634976,0.978620241266968
32,0.6061709410362979,0.14613037527090225,0.9841862265166174,0.6420153230322468,0.16595853888049275,0.9786401498117137
33,0.5951858117255017,0.14571689289380632,0.984227548327886,0.6316624701145476,0.16570190196469817,0.9786548120524354
34,0.5846981447978489,0.14518221740618228,0.9842802204936089,0.6218659728434058,0.16564487153896604,0.9786801473118671
35,0.5747400213278778,0.14481150906809628,0.9843138844287997,0.6124542725064457,0.16547378026176965,0.9786999129777779
36,0.5651955824422686,0.1442625755674689,0.984359777167276,0.6035377551704597,0.16490347600444838,0.9787181767041183
37,0.5561905958319748,0.1440201893464127,0.9844046101073626,0.5950918201927674,0.16484644557871625,0.9787318841243219
38,0.5475123641265465,0.14353541690430022,0.9844468699276716,0.5870080526426659,0.16458980866292167,0.9787322596200668
39,0.5393427229833035,0.1433072886962473,0.9844884007877635,0.5794320382009353,0.1646468390886538,0.978743517095655
40,0.531393667183722,0.14299361241017453,0.9845328103892739,0.5721060032501251,0.16433317174712708,0.9787720298911216
41,0.523825489794486,0.14275122618911829,0.9845737693532174,0.5651261966838367,0.16433317174712708,0.9787845829330527
42,0.5165901212186366,0.1423163567925174,0.9846189166054438,0.558437970187932,0.16430465653426102,0.9788104590813993
43,0.5097822808955675,0.1421310026234744,0.9846526642918687,0.5521032238197632,0.16450426302432347,0.97882205698356
44,0.5032104395435226,0.14193139044142808,0.9846953097138721,0.5459908361868379,0.16461832387578773,0.9788426268187429
45,0.4968711198482323,0.14149652104482718,0.9847462481803597,0.540238064240825,0.16453277823718954,0.9788613777104891
46,0.4908887299152268,0.14124700581726932,0.984781497361293,0.5347509966827686,0.16470386951438593,0.9788754313848124
47,0.48515221304796124,0.14091194251169156,0.9848254422801295,0.5295275599210575,0.16444723259859134,0.9789018783110951
48,0.4796473272496417,0.14056975019961218,0.9848725438361424,0.5245580963945297,0.16450426302432347,0.9789162614731719
49,0.47441397417482023,0.14023468689403445,0.9849047174384222,0.5197583083169061,0.16441871738572528,0.9789298141356797
50,0.4694122254282909,0.1400849777574997,0.9849426870657638,0.5152399374791451,0.1642476261085289,0.9789426126147317
51,0.46458412610978955,0.1398711075624501,0.9849785901999505,0.5109142164876522,0.16433317174712708,0.9789570868556271
52,0.45992845044801384,0.13942910915934756,0.9850151530400546,0.5067527252923566,0.16419059568279676,0.9789672653578331
53,0.45554852123617967,0.1392865290293145,0.9850506018898852,0.5028101830543041,0.16430465653426102,0.9789857057775845
54,0.4513075587035243,0.13919385194479297,0.9850833455870922,0.49904887282717314,0.16416208046993072,0.9789909720330735
55,0.4472731235097423,0.13882314360670697,0.9851121513184838,0.4954461546068704,0.16419059568279676,0.9790012269807101
56,0.44330927884971355,0.1386805634766739,0.9851536824556911,0.49198081887963785,0.163848413128404,0.9790151092671696
57,0.4395321438126884,0.1383668871906011,0.9851960193314848,0.4886358193591084,0.16381989791553794,0.9790361060122168
58,0.43602450027054485,0.13814588798904984,0.9852280170576114,0.4855131659926687,0.16407653483133253,0.9790496947716609
59,0.43256678458767867,0.13798904984601346,0.9852621703635034,0.4824754557122671,0.16421911089566282,0.9790622128501428
60,0.42926007848598097,0.13783934070947873,0.9852994820806623,0.4795956517699557,0.16407653483133253,0.9790812913077042
61,0.42618481769538064,0.13766111554693738,0.9853264861877734,0.4768336842069157,0.16396247397986827,0.9790966817733342
62,0.42312815553676864,0.13732605224135963,0.9853618117129171,0.4741714076723576,0.16396247397986827,0.9791124539796433
63,0.4201251098164721,0.1371620850918216,0.9853984605100145,0.471577115735623,0.16381989791553794,0.9791282964965776
64,0.41731049991893193,0.13692682787726704,0.9854278393803062,0.4691431526939289,0.16396247397986827,0.9791474742606475
65,0.41462324774074943,0.13671295768221742,0.9854609161618674,0.4668368408074823,0.163848413128404,0.97915768052396
66,0.4120437455867051,0.13647057146116118,0.9854923346087225,0.464623331693147,0.16387692834127007,0.9791658743512752
67,0.409590900732748,0.13624244325310825,0.9855276031882151,0.4625256359789634,0.16373435227693975,0.9791714466695945
68,0.40718418659291883,0.136000057032052,0.9855600537455371,0.4604499211783483,0.16379138270267188,0.9791865698054342
69,0.4048418917412112,0.13584321888901563,0.9855936517631908,0.4584750614212847,0.16381989791553794,0.9792006155469285
70,0.40256875031687467,0.1357077677654842,0.9856261541659952,0.4565921412196258,0.16396247397986827,0.9792076113861471
71,0.40052768190487925,0.13553667160944452,0.9856494146461228,0.45483626569055735,0.16396247397986827,0.9792168601982385
72,0.39833270648291835,0.13525151134937835,0.9856891542573344,0.4530674737999429,0.1639339587670022,0.9792303862700213
73,0.3963452963773377,0.13514457625185355,0.9857190837621059,0.4513992158471756,0.16407653483133253,0.9792455612560205
74,0.39441328910164564,0.13508754419984031,0.9857474173749894,0.4498344711614017,0.1640195044056004,0.9792484911559901
75,0.3925992718930585,0.13490931903729897,0.9857748719313024,0.4482877657561347,0.16407653483133253,0.9792605866532927
76,0.39080298149689385,0.13465267480323942,0.985806853010336,0.44682403837293644,0.16379138270267188,0.9792661864699083
77,0.3890725978328221,0.134517223679708,0.9858371976907753,0.4454201147472912,0.16370583706407368,0.9792703689967428
78,0.3873091574142393,0.13419641838713356,0.9858703964863357,0.4439969702525445,0.1636202914254755,0.9792793753521827
79,0.3856661323569445,0.1340823542831071,0.9859016776269632,0.44273395670351673,0.1637628674898058,0.9792821246612468
80,0.3841653655147736,0.13393264514657238,0.98592509158631,0.4414410556074149,0.16342068493541304,0.9792948796272547
81,0.3826659599388708,0.13375441998403104,0.9859554242061838,0.44029664336635865,0.1634492001482791,0.9792852212092844
82,0.3812405620607066,0.13359045283449297,0.9859815134507985,0.4391256666175356,0.16347771536114516,0.9792931396002823
83,0.37986687178312617,0.13344074369795825,0.986008017288319,0.438024494202038,0.16347771536114516,0.9792995821100914
84,0.378530378756436,0.13328390555492187,0.9860317932645454,0.4369682532673371,0.1635347457868773,0.9793043250016551
85,0.37719683006247784,0.1330771643663739,0.9860595486671854,0.4359487133488253,0.16347771536114516,0.9793091809639932
86,0.37590891686371325,0.13288468119082925,0.9860873251958645,0.4349454870323124,0.1635347457868773,0.9793159304132679
87,0.37468387698424027,0.1326921980152846,0.9861086877813819,0.4339855776101934,0.1636202914254755,0.9793230076973971
88,0.3734956077968919,0.13254961788525152,0.9861342707101227,0.43308862985062563,0.16356326099974336,0.9793335263260671
89,0.37231399221166384,0.13240703775521842,0.9861635700414475,0.43218657299093316,0.16356326099974336,0.979339409086924
90,0.3711902912554572,0.13227871563818866,0.9861908552862753,0.4313854751599625,0.1634492001482791,0.979342617775372
91,0.3700863061237951,0.13210049047564731,0.986217640581395,0.4305781418663815,0.16339216972254697,0.9793495661792568
92,0.3690802625022619,0.13194365233261093,0.9862344853466914,0.429774898292286,0.1632781088710827,0.9793570453143461
93,0.36798086308982836,0.13167987909204973,0.9862635121697882,0.4289796061483411,0.16339216972254697,0.9793675737615559
94,0.3669068779015913,0.13147313790350176,0.9862943779382825,0.4282542708512275,0.1632781088710827,0.979371348764408
95,0.3659938570372109,0.1313590737994753,0.9863122200002813,0.42754694052174846,0.16322107844535058,0.9793798283581201
96,0.365101535304025,0.13127352572145545,0.986331542856639,0.42684644953376927,0.16324959365821665,0.9793930911206551
97,0.36421816220444586,0.13112381658492073,0.9863515757511606,0.4261987855915112,0.16347771536114516,0.9793981295423153
98,0.3633453122151079,0.13091707539637276,0.9863723878979831,0.4255789297907418,0.16342068493541304,0.9794043504025728
99,0.3625899323112217,0.1308956883768678,0.9863902091967752,0.42500196237384424,0.16347771536114516,0.9794069090059871
100,0.36172957489301594,0.13066756016881487,0.9864165350876859,0.4243984321364967,0.1633636545096809,0.9794159365990822
101,0.36092453680367803,0.13053210904528345,0.9864370764628113,0.42382524901237884,0.16333513929681484,0.9794200181331715
102,0.3601662919851356,0.13048220599977187,0.9864567075903049,0.4233002506158443,0.1633636545096809,0.9794232185210802
103,0.35937580564669747,0.13033249686323714,0.9864794183553209,0.42273069435353255,0.16319256323248454,0.9794316724510203
