epoch,train_score,val_score
1,0.8679565415763659,0.7790926459266019
2,0.8720200752823086,0.782714077960592
3,0.8734886506216494,0.7843964755196897
4,0.8743726474278545,0.7844249907325558
5,0.8752994182730695,0.7849097493512789
6,0.8751069350975248,0.7855941144600644
7,0.8748788068894718,0.7851663862670735
8,0.8754063533705942,0.7856796600986626
9,0.875926770845215,0.7858792665887251
10,0.8758768677997034,0.7864780860589125
11,0.8763046081898027,0.7865921469103767
12,0.876297479183301,0.7868202686133052
13,0.8760978670012547,0.7858792665887251
14,0.8760693509752481,0.7861929339302518
15,0.8758839968062051,0.785822236162993
16,0.8760764799817498,0.7859077818015912
17,0.8750427740390099,0.784938264564145
18,0.8756130945591423,0.7851378710542074
19,0.8756772556176571,0.785423023182868
20,0.875784190715182,0.7856796600986626
21,0.8757628036956769,0.7857937209501269
22,0.8756915136306604,0.7856511448857966
23,0.8761049960077564,0.7860788730787875
24,0.8760479639557431,0.7859648122273233
25,0.8763473822288126,0.7860218426530554
26,0.8761263830272613,0.7857366905243948
27,0.8761691570662713,0.7852804471185377
28,0.8761121250142581,0.7855085688214662
29,0.8762119311052812,0.7856511448857966
30,0.8763117371963043,0.7859648122273233
