epoch,train_logloss,train_error,train_auc,val_logloss,val_error,val_auc
1,0.6508885853636204,0.04613394503100385,0.9930450092554711,0.6514675147403768,0.06284752915680515,0.990285724385485
2,0.6124156152950333,0.04232130886542651,0.99408105683862,0.6136799192757639,0.05828509509823491,0.990981288117283
3,0.5773459799648285,0.04022645382939501,0.9947035748878482,0.5791785926321057,0.0559183324303516,0.9915320005625946
4,0.5453260971309103,0.03922092341209988,0.9949053266830761,0.5478127371486767,0.05569021072742308,0.9916024745186524
5,0.5160337272263253,0.03891716943187531,0.9949911497596945,0.5191053176117248,0.05560466508882489,0.9916740332649042
6,0.48903479206637834,0.03817873303167421,0.995095006215702,0.49263110481107636,0.05520545210869999,0.9917681201109628
7,0.4639013566377051,0.03720986257750963,0.9953263401695541,0.4681568735781678,0.05483475434144116,0.9919594958044804
8,0.44088916364356123,0.03751361655773421,0.9953300206805584,0.44556237984915115,0.05437851093558414,0.9920364186512093
9,0.4195262918870591,0.03639810625104743,0.9955798797359944,0.424702960011923,0.05312384156947732,0.9922034183609344
10,0.39967729090409393,0.03624099212334506,0.9956174503506366,0.4053568624733566,0.05312384156947732,0.9922219102930878
11,0.38106200356474695,0.03578012401541814,0.9956887499042798,0.38721627803812714,0.05303829593087912,0.9923029347689472
12,0.36392914199771165,0.03614672364672365,0.9957366304478624,0.37050890381806195,0.05269611337648636,0.9924297504832927
13,0.34794229907405866,0.03607340372046254,0.9957390624540533,0.3549151699300087,0.05312384156947732,0.9924480609936379
14,0.3329199454140774,0.0355182671359142,0.9957804298727669,0.3403127474936663,0.05229690039636146,0.992493451981949
15,0.3188995274293557,0.03543971007206301,0.9958275383839793,0.3266195437434245,0.05241096124782572,0.9925915675143492
16,0.30571476348541715,0.03506787330316742,0.9958652699986932,0.3138414992809282,0.05218283954489721,0.9926105868789763
17,0.29326801266969477,0.03441323110440758,0.9960006049034346,0.3018322301775556,0.05149847443611166,0.9926916599833615
18,0.2814262034865485,0.03418279705044411,0.9960629534565094,0.2904597925363606,0.0511562918817189,0.9927542879137914
19,0.2704713131966469,0.03386333165744931,0.996095499442685,0.27992938106201914,0.05109926145598677,0.992766205643303
20,0.26003571513386886,0.03369574325456678,0.9961668695401414,0.2699908791783667,0.05095668539165645,0.9927838316136292
21,0.2503358941194802,0.03361194905312553,0.9961959081932431,0.26070357080572476,0.05070004847586188,0.9928097319146771
22,0.2412086021260004,0.03330295793531088,0.9962207660557315,0.25199560980057606,0.05098520060452251,0.9928028416266167
23,0.23255487868514893,0.03294683257918552,0.9962740254279381,0.24375504755838526,0.05095668539165645,0.9928288279627491
24,0.22440029008286544,0.03298872967990615,0.9962997791858841,0.23594032945113252,0.05104223103025464,0.9928484701465738
25,0.21672273368117523,0.03296778112954583,0.9963209769983653,0.22855337260080066,0.05070004847586188,0.9928799814313845
26,0.20962367619593675,0.03286303837774426,0.9963803577194577,0.22171573513023746,0.05087113975305826,0.9930199773465882
27,0.20278546150407914,0.03265879001173119,0.9964186624066577,0.21520042313248638,0.05087113975305826,0.9930551469928119
28,0.19629905088302868,0.03249120160884867,0.9964381532892496,0.20912460172539063,0.05101371581738857,0.9930512080822106
29,0.19005195015986145,0.03240217026981733,0.9964879794377849,0.20323043169605168,0.05084262454019219,0.9930915660180868
30,0.18422043903946822,0.03223458186693481,0.9965307356809654,0.197628324527878,0.05055747241153155,0.9931374114960828
31,0.1786101487754651,0.03192035361153008,0.9965844736101137,0.19236464968605593,0.05027232028287091,0.9931585611642118
32,0.17333811298793908,0.03185750796044914,0.9966260325832565,0.18732781928853667,0.05015825943140666,0.9932078443049263
33,0.16826576554717146,0.03157470253058488,0.9966879252894509,0.18259462870137141,0.04987310730274602,0.9932615152349431
34,0.1636504914863021,0.03157470253058488,0.9967067134766712,0.178148622773746,0.04967350081268357,0.9932981568292406
35,0.15915084476415703,0.03126047427518016,0.9967495947348987,0.17392732419838206,0.04944537910975506,0.9933209467749562
36,0.15505081707106297,0.03119762862409921,0.9967611782923432,0.1700682840101964,0.0493313182582908,0.9933187659726005
37,0.15085701050158157,0.03104575163398693,0.9968104291741835,0.16622376803596284,0.04921725740682655,0.9933573283936726
38,0.14702748130525922,0.03085197754315401,0.9968408015222557,0.1626417306476362,0.04907468134249622,0.9933740715692201
39,0.14328561051445432,0.03069486341545165,0.996892269048692,0.15925794184605632,0.04890359006529984,0.9933869899241694
40,0.13990969819465326,0.03063201776437071,0.9969077975741578,0.15610834971487125,0.0489321052781659,0.9933892025220998
41,0.13637935487765432,0.03023399530752472,0.9969758867808897,0.15294342267522285,0.04881804442670164,0.993417294847471
42,0.13320917749642974,0.03015543824367354,0.997004936075904,0.15006283241791765,0.0486184379366392,0.9934280772879347
43,0.1300904502619953,0.0298935813641696,0.9970664244442697,0.1472874871317595,0.04841883144657675,0.9934500386783814
44,0.127238725596781,0.02983073571308865,0.997095364138554,0.14462407054375068,0.04844734665944282,0.9934761316232052
45,0.1245851288215008,0.02973646723646724,0.9971201374142928,0.14214939201423982,0.04839031623371069,0.9934938267956644
46,0.12201770704230788,0.02967362158538629,0.9971415363808668,0.13982526432141637,0.04819070974364824,0.9935008779319261
47,0.11961808763380821,0.02956364169599464,0.9971619826768303,0.13765179198108332,0.04813367931791611,0.9935018430211332
48,0.11716038735400579,0.02936986760516172,0.9972013367992494,0.1355228897482314,0.04801961846645185,0.9935109627400753
49,0.11491608547961948,0.02933844477962125,0.997227387323937,0.13352455406885613,0.0479055576149876,0.9935228187487656
50,0.1127459225466257,0.02915514496396849,0.9972538106447016,0.13160607186757287,0.04779149676352334,0.9935329503151128
51,0.11072783994605712,0.02891947377241495,0.9972730681183314,0.12977431606788262,0.04770595112492515,0.9935436074436059
52,0.10875704946332442,0.02884091670856377,0.9972984017950004,0.12803688513959505,0.04773446633779121,0.9935557832783707
53,0.10685038930128243,0.0286366683425507,0.9973283584502134,0.1263612325041751,0.04762040548632696,0.9935663487607955
54,0.10503666213589036,0.02834862577509636,0.9973551531956745,0.1247944584002517,0.04742079899626451,0.9935755171082635
55,0.10326265089507823,0.02806582034523211,0.9973905368972501,0.12329525178603068,0.04747782942199664,0.9935876499254861
56,0.10160741126234835,0.02788252052957935,0.9974173850716958,0.12184197936599991,0.04727822293193418,0.9936052777661402
57,0.0999982209094966,0.02765208647561589,0.9974421152312314,0.12049404660300313,0.04713564686760387,0.993610858824656
58,0.0984337154485122,0.02763637506284565,0.9974734244516107,0.11917613757555245,0.04699307080327355,0.9936200963742571
