epoch,train_score,val_score
1,0.9970514915367856,0.9536342638797799
2,0.9982926931456343,0.9562576634634578
3,0.9985126529244176,0.9574838176166985
4,0.998606921401039,0.9580256066611538
5,0.9986383442265795,0.9584248196412786
6,0.9986226328138093,0.9587099717699392
7,0.9986435813641696,0.9581681827254841
8,0.9986540556393497,0.9585103652798768
9,0.99866976705212,0.958624426131341
10,0.99866976705212,0.9585103652798768
11,0.9986750041897101,0.9583392740026804
12,0.9986802413273002,0.958139667512618
13,0.9986802413273002,0.9582822435769484
14,0.9986802413273002,0.9582252131512162
15,0.99866976705212,0.9579970914482877
16,0.9986802413273002,0.9581966979383502
17,0.9986802413273002,0.958139667512618
18,0.9986802413273002,0.9582822435769484
19,0.9986854784648902,0.9580826370868859
20,0.9986854784648902,0.958111152299752
21,0.9986802413273002,0.958111152299752
22,0.9986854784648902,0.9579115458096895
23,0.9986907156024804,0.9580541218740198
24,0.9986907156024804,0.9579970914482877
25,0.9986907156024804,0.9582252131512162
26,0.9986854784648902,0.9584248196412786
27,0.9986854784648902,0.9584533348541446
28,0.9986802413273002,0.9581681827254841
29,0.9986802413273002,0.9581966979383502
30,0.9986854784648902,0.9580256066611538
