epoch,train_score,val_score
1,0.9966564959507243,0.9545467506914939
2,0.9978185240104939,0.9566568764435827
3,0.9980323942055435,0.9576549088938949
4,0.9982248773810882,0.9583677892155464
5,0.9982391353940915,0.9584248196412786
6,0.9982462644005932,0.9585103652798768
7,0.9982248773810882,0.9579685762354216
8,0.9982320063875898,0.9582252131512162
9,0.9982605224135964,0.9589095782600017
10,0.9982605224135964,0.9590806695371981
11,0.9982533934070947,0.9592232456015284
12,0.9982605224135964,0.9592517608143944
13,0.9982676514200981,0.9592517608143944
14,0.9982676514200981,0.9591091847500641
15,0.9982676514200981,0.9590806695371981
16,0.9982819094331014,0.9593373064529926
17,0.9982819094331014,0.9591376999629302
18,0.9982819094331014,0.9593373064529926
19,0.9982819094331014,0.9592517608143944
20,0.9982819094331014,0.9594228520915908
21,0.9982819094331014,0.9593373064529926
22,0.9982819094331014,0.9593373064529926
23,0.9982819094331014,0.9592802760272605
24,0.9982819094331014,0.9592802760272605
25,0.9982819094331014,0.9594228520915908
26,0.9982819094331014,0.9595369129430551
27,0.9982819094331014,0.9594228520915908
28,0.9982819094331014,0.9594228520915908
29,0.9982819094331014,0.9594513673044569
30,0.9982819094331014,0.9594513673044569
