epoch,train_logloss,train_error,train_auc,val_logloss,val_error,val_auc
1,0.5847102557033304,0.31937949127409604,0.9916570235532781,0.585031550352219,0.3193703840999173,0.9894958830341806
2,0.5478886670929187,0.31937949127409604,0.9931456089547197,0.5485570858996691,0.3193703840999173,0.9905998646630716
3,0.5149398169463161,0.31937949127409604,0.9935770728730862,0.5160451875757106,0.3193703840999173,0.9908812180922056
4,0.48535407614823356,0.31937949127409604,0.9936875280794744,0.4868231902482753,0.3193703840999173,0.9909790306314825
5,0.4586435680457069,0.31937949127409604,0.9938881404925752,0.4604610977157147,0.3193703840999173,0.991222468773005
6,0.4341790494906874,0.07479040720885137,0.9940285629977151,0.4364195670907568,0.07291339929852576,0.9912950468479738
7,0.41184978162672436,0.06651363066043116,0.9941506513128756,0.41456236967770155,0.06450141150303687,0.9913264814493395
8,0.3913755017697422,0.06523040949013345,0.9941839086562777,0.39439757653709934,0.06361743990418889,0.9913827390428709
9,0.37242649700743324,0.06107419869966921,0.9944145801349386,0.37585160743631374,0.05971085574153811,0.991547896479594
10,0.3549850546908187,0.05926343104824912,0.99443192347719,0.35878210106126873,0.05828509509823491,0.9915399195310115
11,0.3387434348517977,0.05552070263488081,0.9945004399663178,0.34288022358833786,0.05586130200461947,0.9915764451649779
12,0.3238144680188194,0.05344616174289951,0.9948988419987386,0.328206515259676,0.05454960221278052,0.9922434302861453
13,0.30962623740546724,0.05131458879890499,0.994985417961923,0.31444771006232153,0.05252502209928997,0.992288617408713
14,0.2967243335479931,0.049625014258013,0.9950164544316659,0.3018032299093512,0.05161253528757592,0.9923091966268262
15,0.28440108286463095,0.04797108474962929,0.9951167974033898,0.2897591698001104,0.05041489634720123,0.9924557274677854
16,0.2729828071103708,0.04677341165735143,0.9951454225687337,0.27864920225066336,0.04958795517408537,0.9924772642937941
17,0.2621988612210676,0.04556148055207027,0.9952667689171021,0.26822659136056254,0.04870398357523739,0.9925549651969381
18,0.25209052788616976,0.04422122732975933,0.9952928431989783,0.258418096868339,0.04787704240212153,0.9925741884273086
19,0.24251409105593671,0.04294513516596327,0.9953529646033092,0.2491849783731828,0.04733525335766631,0.9926073119347869
20,0.233636081808936,0.04241758868484088,0.995380399371955,0.24059804959618955,0.04682197952607716,0.9926129285295332
21,0.22534783530149202,0.0417189460476788,0.9954042482210566,0.23253663517648396,0.04633722090735407,0.9926336480222404
22,0.21757222715811128,0.04102743241701837,0.9954304377667199,0.22499886828886678,0.04596652314009524,0.9926589404667141
23,0.21009093205040522,0.04035730580586289,0.9954946509185939,0.2178853170426735,0.04576691665003279,0.9926859367799238
24,0.20305175940408746,0.03978698528573058,0.9955426378283685,0.21118535206026515,0.04553879494710428,0.9926966911654687
25,0.19646529296430698,0.03918814873959165,0.9955773061595098,0.2048580486253794,0.04525364281844364,0.9927129948139547
26,0.19039765433832712,0.03910972966807346,0.9956846590632781,0.1989554925355516,0.04545324930850609,0.9928765736939126
27,0.18441527205041022,0.03818295882285844,0.9957688944468012,0.19330415447175395,0.04485442983831874,0.9929282676873171
28,0.17876724444642694,0.03742728413368313,0.9958214651378714,0.18791692401299087,0.04468333856112236,0.9929895377596764
29,0.17350917600110782,0.03699241473708224,0.995864864291737,0.18284929713166373,0.0445692777096581,0.9930386058126799
30,0.1684582144644711,0.03642922322345158,0.995912807246964,0.17802092164432787,0.04379936696227437,0.9930760684809347
31,0.16372638594473252,0.03597296680734573,0.995952879064954,0.1735539200483534,0.04362827568507799,0.9930851900702047
32,0.1591808930654693,0.03564503250826965,0.9960005802701689,0.16924433327565233,0.04325757791781916,0.993130150883094
33,0.15480155902607165,0.03485371278658606,0.9960597104760708,0.16516550932452517,0.04311500185348884,0.9931646397299546
34,0.1508129248170088,0.0344616174289951,0.9960830775786543,0.16133008801699833,0.04271578887336394,0.9931881235673288
35,0.14703305588052096,0.03424061822744382,0.9961011562243755,0.15774809931260392,0.04265875844763181,0.9931992651107533
36,0.14342773230695396,0.0340124900193909,0.9961271821094891,0.1543730092402085,0.04254469759616755,0.9932036641220232
37,0.1399215368593142,0.03354197559028174,0.9961693518219253,0.1511378751371842,0.04271578887336394,0.9932256180311582
38,0.1366669718147763,0.03351345956427512,0.9961961954252855,0.1480831138521111,0.04231657589323904,0.9932548194609865
39,0.13344401588797947,0.03307859016767423,0.996239875607695,0.1451637252237667,0.0424306367447033,0.9932661536481868
40,0.13056473262443713,0.03285046195962131,0.9962570912947176,0.14244358480399863,0.04231657589323904,0.9932797808574182
41,0.12759347312678015,0.03260807573856507,0.9963048456896113,0.1397680396123781,0.04231657589323904,0.9933010726704692
42,0.12492727298878373,0.03231578647199726,0.9963275507852714,0.13733567839261113,0.04240212153183723,0.9933050097107425
