epoch,train_score,val_score
1,0.8162991071428571,0.765348313325159
2,0.8171071428571428,0.7678861672702386
3,0.8173035714285715,0.7692548974878097
4,0.8173370535714286,0.7699677778094614
5,0.8174129464285714,0.7703384755767202
6,0.8174129464285714,0.7698537169579971
7,0.8174352678571428,0.7699962930223274
8,0.8174486607142857,0.7698822321708632
9,0.8174553571428571,0.7701958995123899
10,0.8174575892857143,0.7703384755767202
11,0.8174598214285714,0.770680658131113
12,0.8174620535714285,0.770709173343979
13,0.8174598214285714,0.7705095668539166
14,0.8174665178571429,0.7712794776013003
15,0.8174665178571429,0.770680658131113
16,0.8174665178571429,0.770709173343979
17,0.8174665178571429,0.7708802646211754
18,0.81746875,0.7709658102597736
19,0.8174709821428572,0.7712794776013003
20,0.8174709821428572,0.7713079928141664
21,0.8174709821428572,0.7711654167498361
22,0.8174754464285714,0.7710798711112379
23,0.8174776785714286,0.7707947189825772
24,0.8174799107142857,0.7709658102597736
25,0.8174776785714286,0.7710513558983718
26,0.8174776785714286,0.7712224471755682
27,0.8174799107142857,0.771564629729961
28,0.8174799107142857,0.7714220536656307
29,0.8174776785714286,0.7714220536656307
30,0.8174776785714286,0.7716786905814252
