epoch,train_score,val_score
1,0.9973761940673705,0.9542330833499673
2,0.9982926931456343,0.9565713308049845
3,0.9984079101726161,0.9573127263395022
4,0.9984602815485168,0.9571416350623058
5,0.9984917043740573,0.9581681827254841
6,0.9984917043740573,0.9582822435769484
7,0.9984917043740573,0.9586529413442071
8,0.9984917043740573,0.9587955174085374
9,0.9984917043740573,0.9583963044284125
10,0.9984917043740573,0.9582822435769484
11,0.9984917043740573,0.9582537283640823
12,0.9984917043740573,0.9583677892155464
13,0.9984917043740573,0.9584533348541446
14,0.9984917043740573,0.9586529413442071
15,0.9984917043740573,0.9587670021956713
16,0.9984917043740573,0.9589380934728677
17,0.9984917043740573,0.9589951238985999
18,0.9984917043740573,0.9588240326214035
19,0.9984917043740573,0.9588525478342695
20,0.9984917043740573,0.9586814565570732
21,0.9984917043740573,0.9585673957056089
22,0.9984917043740573,0.958595910918475
23,0.9984917043740573,0.9585673957056089
24,0.9984917043740573,0.958595910918475
25,0.9984917043740573,0.9586814565570732
26,0.9984917043740573,0.9588240326214035
27,0.9984917043740573,0.9587384869828053
28,0.9984917043740573,0.9587384869828053
29,0.9984917043740573,0.9587384869828053
30,0.9984917043740573,0.9588525478342695
